,comment,username
0,Everyone in a moment of our life we have a summer...,Raul Chavarría
1,my favorite scene,성장테일INFP
2,"Value love more than anything , don&#39;t take things for granted.....",Bhavishya Raj
3,"In the end, Tom realized he still has the talent to be an architect and met Autumn, Summer finally let herself believe there was someone for her and married a good man❤️",Rare Hearts
4,"People say re-watch your favourite movie or re-read your fav novel at different phases of your life.<br>At each phase different parts will give you different meanings depending upon what situation you&#39;re in.<br>And man, so true can someone be?<br>Earlier I used to go over the rose tinted parts of the movie for that seemed relatable, and wouldn&#39;t understand the later parts.<br>And now when im in a similar place, when getting up merely from bed seems so uphill a task, when the thought of living on my own after she walked away sends a me a shudder and fills me with uncertainty,  this scene looks so beautiful now. Perhaps the best part of the movie.",ttyd
5,"I finally reached that goal where I am focusing on myself &amp; dreams. I always come back to this video to keep striving for that mediation/ motivation. Like Thomas, I have been hopeless in love, but now I&#39;m taking time for myself and just wanting the universe to lead me the right way.",Hannah Spottedeagle
6,"I’m going  through an extremely painful divorce after my husband abandoned me and took half of my money with him. When I get overwhelmed, I listen to this song, get up, take my dog for a walk and remind myself that life doesn’t end here. You just have to put forth the effort yourself and not rely on one person to make you happy.",hoppomahx
7,I find it interesting that you never actually see the guy that Summer marries.,Kenton Pryor
8,"i rewatch this scene and listen to this song every time i start to relapse and feel nostalgic for someone from the past who didn’t wanna commit to me. it makes me feel hopeful, strong and motivated. It reminds me that the future is bright - but only if I move on and make it bright.",Shehzadi Aziz
9,Probably my favourite story act in anything ever,Mikkel G
10,"This scene was my favorite, I really related to this character and this really motivated me, as an aspiring architect student and a rather hopeless romantic, also I love JGL!!!!!&lt;3",Evangelia
11,Classic…lets just lie to these men and let them think that self improvement will get them female attraction (it doesn’t). You are either born perfect and handsome or you aren’t and women will never like you. Movies like this is just delusional and wants to manipulate men into being productive for no reason and no purpose.,NoPecsNoSex
12,This is the best scene in the film in my opinion. After being so emotionally bound to summer and being devastated by her being engaged he reached an absolute low point. He then makes a choice to reinvent himself and pursue his passion which is architecture. Many men can relate to this time in their lives when they “get their shit together” and really being to understand the higher levels of life. It all starts from within.,DopeIsJay
13,Purpose &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;relationship,The Empowered Man
14,"Un día, hace falta levantarse de llorar en la cama, saber que se ha ido, que nunca volverá, que no le importas, es en ese momento, dónde debes importarte a ti mismo, empezar a ser contigo mismo, soltar el pasado y lograr que no duela",Heriberto Morales
15,This is one of my favorite scenes,Moises Hernandez
16,"We all need time to slow down and figure out what needs to heal. <br><br>Society hates that, but thats the reality of life.",B Babbich
17,"I&#39;ve been looking for this video for a while, like 1 year or 6 o 8 moths",Jor Fuentes
18,These moments in life are beautiful.,Rogelio Rodriguez
19,This scene stuck in my head and led me to get into urban sketching in 2021.,3November953AM22
20,Sometimes you just gotta say fuck it and move on by force and try new things. Hopefully anyone who is watching this is finding their purpose and moving forward,The fruition
21,"In terms of a movie about a &quot;significant other&quot; who isn&#39;t the one, there is no movie that comes close to this in the way of showing someone realistically build themselves back up again to be confident enough to find the right person for them.  This scene is absolutely wonderful and I would argue is what takes this movie to that perfect level of cinema.<br><br>10 out of 10.",Christopher Khan
22,Hey man can i use this clip in my video,YassinLwest
23,Happy twin flame day 11/11/20,Hannah Spottedeagle
24,This song is fucking 👍,한별
25,This movie now has a meaning for me.,Kinoo
26,Same,DredgenYorsRose
